,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,val_number, consent_value ,description
94675,Christchurch,Waitaki,07-Nov-17,101.2017.00004193.001,15 Ripon Street,Richmond                            9493,,Lot: 54 DP: 119,,," $6,000.00 ",installation of a free-standing masport r5000 ru woodburner
94677,Christchurch,Waitaki,22-Nov-17,101.2017.00004226.001,5 Warwick Street,Oamaru North                        9400,,Lot: 6 DP: 7791,,," $6,000.00 ",installation of a free-standing jayline fr 400 woodburner and flue
94678,Christchurch,Waitaki,18-Jul-17,101.2017.00003984.001,6 Arrow Crescent,Holmes Hill 9401,,Lot: 99 DP: 10345,,," $6,000.00 ",install new freestanding woodsman woodfire and flue
94679,Christchurch,Waitaki,22-Sep-17,101.2017.00004112.001,124 Duncan Road,Hampden                             9410,,Sec: 152 Blk: I SD: Otepopo,,," $6,000.00 ",installation of a new free-standing woodsman tarras mk iii woodburner
94683,Christchurch,Waitaki,01-Sep-17,101.2017.00004075.001,134 Taylors Road,Kokoamo                             9494,,Lot: 1 DP: 23122,,," $5,000.00 ",installation of a jayline is500 insert woodburner into existing
94686,Christchurch,Waitaki,21-Aug-17,101.2017.00004056.001,Waitaki Bridge,Oamaru,,Sec: 60A Set: Steward,,," $5,000.00 ",installation of a free-standing metro tiny ped woodburner
94688,Christchurch,Waitaki,14-Aug-17,101.2017.00004034.001,556 Round Hill Road,Five Forks-Reidston 9492,,Lot: 2 DP: 408941,,," $5,000.00 ",installation of a second-hand free-standing rayburn nouvelle logfire
94692,Christchurch,Waitaki,04-Jul-17,101.2017.00003957.001,4 Baker Street,Weston 9401,,Lot: 1 DP: 7915,,," $5,000.00 ",installation of a firenzo kompact plaza 1000 ag insert woodburner
94693,Christchurch,Waitaki,10-Oct-17,101.2017.00004137.001,75 Omarama-Lindis Pass Road,Omarama                             9412,,Sec: 10 SO: 486878,,," $5,000.00 ",installation of a kent rata insert woodburner and
94694,Christchurch,Waitaki,25-Oct-17,101.2017.00004163.001,9 Lynn Street,Oamaru North                        9400,,PtL: 7 DP: 3116,,," $5,000.00 ",installation of an in-built metro eco smart woodburner into
94697,Christchurch,Waitaki,03-Aug-17,101.2017.00004011.001,23 Domett Road,Otiake 9494,,Sec: 11 Blk: II SD: Kurow,,," $5,000.00 ",installation of a second hand stanley shire free-standing logfire
94702,Christchurch,Waitaki,12-Sep-17,101.2017.00004091.001,16 Percy Street,Weston                              9401,,Lot: 3 DP: 12081,,," $4,600.00 ",installation of a free-standing woodsman tarras mk iii woodburner
94706,Christchurch,Waitaki,25-Aug-17,101.2017.00004066.001,21 Queens Crescent,Oamaru 9400,,Lot: 37 DP: 7658,,," $4,500.00 ",installation of a free-standing masport r5000 woodburner
94707,Christchurch,Waitaki,21-Dec-17,101.2017.00004271.001,1749 Maheno-Herbert Road,Herbert-Maheno 9495,,Sec: 54 Blk: V SD: Otepopo,,," $4,500.00 ",installation of a free-standing masport r5000 ru woodburner and flue
94708,Christchurch,Waitaki,19-Dec-17,101.2017.00004266.001,390 Steward Road,Waitaki Bridge 9493,,Lot: 2 DP: 15883,,," $4,500.00 ",installation of a free-standing masport r10000 woodburner and flue
94712,Christchurch,Waitaki,27-Oct-17,101.2017.00004173.001,11 Sutherland Road,Omarama                             9412,,Lot: 7 DP: 10670,,," $4,000.00 ",installation of a free-standing firenzo viking ag woodburner and
94713,Christchurch,Waitaki,27-Jul-17,101.2017.00004001.001,53 Gilligan Street,Palmerston 9430,,PtL: 7 DP: 6425,,," $4,000.00 ",installation of a free-standing metro xtreme rad base woodburner
94715,Christchurch,Waitaki,30-Aug-17,101.2017.00004070.001,11 Rother Street,Oamaru 9400,,Lot: 10 DP: 6765,,," $4,000.00 ",installation of a free-standing metro wee rad woody woodburner
94718,Christchurch,Waitaki,04-Aug-17,101.2017.00004018.001,43 Stour Street,Oamaru 9400,,Lot: 2 DP: 15539,,," $4,000.00 ",installation of a free-standing yunca hobson (sub 1.0) logfire
94719,Christchurch,Waitaki,25-Oct-17,101.2017.00004166.001,2 Whickham Street,Maheno                              9495,,Sec: 1 Blk: II Twn: Maheno,,," $4,000.00 ",installation of a free-standing masport r5000 woodburner and flue
94721,Christchurch,Waitaki,24-Jul-17,101.2017.00003993.001,3A Regina Lane,Oamaru North 9400,,Lot: 2 DP: 17165,,," $3,500.00 ",installation of a free-standing jayline fr300 woodburner
94723,Christchurch,Waitaki,10-Jul-17,101.2017.00003968.001,28 Lynn Street,Oamaru North 9400,,PtL: 8 Ded: 312,,," $3,500.00 ",installation of a free-standing woodsman ecr novo woodburner
94724,Christchurch,Waitaki,04-Sep-17,101.2017.00004076.001,646 Earthquake Road,Duntroon                            9494,,PtS: 3 Blk: VI SD: Maerewhenua,,," $3,500.00 ",installation of a free-standing masport mackenzie r10000 woodburner
94725,Christchurch,Waitaki,26-Jul-17,101.2017.00003998.001,534 Airedale Road,Airedale-Weston 9492,,Sec: 11S Set: Rosebery,,," $3,000.00 ",installation of a free-standing metro euro ped woodburner
94726,Christchurch,Waitaki,03-Aug-17,101.2017.00004012.001,364 Ardgowan Road,Ardgowan-Rosebery 9492,,Lot: 1 DP: 363255,,," $3,000.00 ",installation of a free-standing woodsman tarras mkiii woodburner
94727,Christchurch,Waitaki,07-Aug-17,101.2017.00004021.001,24 Caledonian Road,Oamaru North 9400,,PtL: 7 DP: 2447,,," $3,000.00 ",installation of a masport bannockburn 12000 d  logfire
94728,Christchurch,Waitaki,24-Aug-17,101.2017.00004059.001,30 Anderson Street,Kakanui 9495,,Lot: 9 Blk: XIV DP: 12,,," $3,000.00 ",installation of a free-standing masport rural 1500 woodburner
94729,Christchurch,Waitaki,25-Aug-17,101.2017.00004061.001,54 Blue Stone Drive,Waiareka Junction 9401,,Lot: 12 DP: 446948,,," $3,000.00 ",installation of a free-standing woodsman tarras mk iii logfire
94730,Christchurch,Waitaki,08-Aug-17,101.2017.00004026.001,235 Homestead Road,Weston-Ardgowan 9491,,Sec: 107 Blk: II SD: Oamaru,,," $3,000.00 ",installation of a free-standing jayline fr300 woodburner and flue
94731,Christchurch,Waitaki,26-Jul-17,101.2017.00003997.001,5A Fleet Street,Oamaru North 9400,,Lot: 60 DP: 9552,,," $3,000.00 ",installation of a free-standing woodsman ecr novo woodburner
94735,Christchurch,Waitaki,22-Nov-17,101.2017.00004225.001,400 Doctors Creek Road,Otekaieke                           9494,,Lot: 3 DP: 347068,,," $3,000.00 ",installation of a free-standing woodsman tarras mk iii woodburner
94739,Christchurch,Waitaki,12-Dec-17,101.2017.00004254.001,42 Leith Street,Oamaru North 9400,,Lot: 1 DP: 26108,,," $2,799.00 ",installation of a free-standing metro tiny ped woodburner
94740,Christchurch,Waitaki,12-Oct-17,101.2017.00004141.001,8 Totara Peak Crescent,Omarama                             9412,,Sec: 77 Blk: I SD: Benmore,,," $2,600.00 ",installation of a free-standing masport r5000 woodburner and flue
94741,Christchurch,Waitaki,17-Aug-17,101.2017.00004040.001,116 Eden Street,Oamaru 9400,,Sec: 7 Blk: LXII Twn: Oamaru,,," $2,500.00 ",installation of a free-standing woodsman ecr novo woodburner
94742,Christchurch,Waitaki,29-Nov-17,101.2017.00004240.001,4456 Kurow-Duntroon Road,Kurow                               9494,,Sec: 73A Set: Otekaieke,,," $2,500.00 ",installation of a free-standing metrofire tiny rad woodburner
94743,Christchurch,Waitaki,14-Sep-17,101.2017.00004098.001,192 Waitaki Drive,Otematata                           9412,,Lot: 42 DP: 12349,,," $2,500.00 ",installation of a free-standing metrofire tiny rad woodburner and eco
94744,Christchurch,Waitaki,19-Sep-17,101.2017.00004105.001,2 Fleet Street,Oamaru North                        9400,,Lot: 21 DP: 9552,,," $2,500.00 ",installation of a free-standing woodsman ecr novo woodburner
94746,Christchurch,Waitaki,12-Sep-17,101.2017.00004092.001,2 Totara View Crescent,Otematata                           9412,,Lot: 2 DP: 384373,,," $2,500.00 ",installation of a free-standing clean air metrofire wee rad woodburner
94747,Christchurch,Waitaki,06-Jul-17,101.2017.00003961.001,134 Dunback Road,Palmerston 9430,,Lot: 6 Ded: 142,,," $2,500.00 ",installation of a free-standing metro tiny rad eco woodburner
94748,Christchurch,Waitaki,10-Aug-17,101.2017.00004028.001,22 Tasman Road,Otematata 9412,,Lot: 3 DP: 12399,,," $2,070.00 ",installation of a free-standing woodsman ecr novo woodburner
94749,Christchurch,Waitaki,13-Sep-17,101.2017.00004094.001,3 Anderson Street,Kakanui                             9495,,Lot: 18 Blk: X DP: 12,,," $2,043.00 ",installation of free-standing metrofire tiny rad woodburner
94750,Christchurch,Waitaki,20-Jul-17,101.2017.00003991.001,42 Bowen Street,Kurow 9435,,PtS: 20 Blk: VII Twn: KUROW,,," $2,000.00 ",install new metro clean air free standing woodburner
94753,Christchurch,Waitaki,11-Sep-17,101.2017.00004089.001,20 Ardgowan Road,Ardgowan-Rosebery                   9492,,Lot: 35 DP: 402,,," $2,000.00 ",installation of a free-standing firenzo contessa ag woodburner
94756,Christchurch,Waitaki,20-Jul-17,101.2017.00003990.001,51 Lincoln Street,Hampden 9410,,Sec: 13 Blk: XXXIV Twn: Hampden,,," $1,925.00 ",replace old log burner with new woodsman woodburner
94758,Christchurch,Waitaki,07-Nov-17,101.2017.00004194.001,10 Reed Street,Oamaru                              9400,,Lot: 2 DP: 5525,,," $1,200.00 ",installation of an in-built jayline is550 woodburner
94816,Christchurch,Waitaki,27-Nov-17,101.2016.00003413.002,296 Palmerston-Dunback Road,Palmerston-Dunback                  9483,,PtS: 33 Blk: V SD: Moeraki,,, $100.00 ,amendment to bc 2016/3413 for change of woodburner
94830,Marlborough,Marlborough,30-Nov-17,BC171465,"Dry Hills Lane 
Riverlands",,,,,," $1,200,000.00 ",dwelling with free-standing log fire & detached garage  (stage 2)
94833,Marlborough,Marlborough,30-Aug-17,BC171081,126 Dry Hills Lane Riverlands,,,,,," $855,000.00 ","dwelling with attached garage, free-standing pyroclassic log fire & separate garage/shed"
94843,Marlborough,Marlborough,30-Sep-17,BC171147,2 Fantail Heights Waikawa,,,,,," $675,000.00 ",dwelling with attached garage/inbuilt log fire
94845,Marlborough,Marlborough,30-Nov-17,BC171511,4144 Kenepuru Road Kenepuru Sound,,,,,," $650,000.00 ",dwelling with free-standing log fire & sleep-out
94846,Marlborough,Marlborough,30-Sep-17,BC171218,"SH 63
Wairau Valley",,,,,," $640,000.00 ",dwelling with attached garage/free standing log fire
94848,Marlborough,Marlborough,30-Jul-17,BC170846,Wither Road Blenheim,,,,,," $607,198.00 ",dwelling with attached garage & free-standing firenzo lady kitchener log fire with wetback
94851,Marlborough,Marlborough,30-Nov-17,BC171421,20 Marldene Avenue Seddon,,,,,," $600,000.00 ",dwelling with attached garage & free-standing metro euro ped log fire
94853,Marlborough,Marlborough,30-Jul-17,BC170943,10 Evesham Lane Blenheim,,,,,," $590,000.00 ",dwelling with attached garage & free-standing stovax riva studio 2 log fire
94857,Marlborough,Marlborough,30-Jul-17,BC170830,11 Bell Bird Rise Waikawa,,,,,," $550,000.00 ",dwelling with attached garage and log fire
94859,Marlborough,Marlborough,30-Nov-17,BC171451,9 Finlay Grove Waikawa,,,,,," $540,000.00 ",dwelling with attached garage/inbuilt log fire/retaining & excavation work
94864,Marlborough,Marlborough,30-Aug-17,BC171076,Brookby Road Hawkesbury,,,,,," $510,000.00 ",dwelling with attached garage & free-standing masport kronos log fire
94866,Marlborough,Marlborough,30-Aug-17,BC171041,8705 Awatere Valley Road Awatere Valley,,,,,," $500,000.00 ",dwelling with attached garage & free-standing classic hunter log fire with wetback
94875,Marlborough,Marlborough,30-Dec-17,BC171535,8 Spitfire Drive Blenheim,,,,,," $469,643.00 ",dwelling with attached garage & free-standing woodsman flare log fire
94876,Marlborough,Marlborough,30-Jul-17,BC170866,15 Boyces Road Rapaura,,,,,," $460,000.00 ","dwelling with attached garage, masport le4000 provincial log fire & wastewater system"
94881,Marlborough,Marlborough,30-Dec-17,BC171583,27 Grigg Drive Blenheim,,,,,," $430,000.00 ",dwelling with attached garage & inbuilt masport le4000 provincial log fire
94883,Marlborough,Marlborough,30-Aug-17,BC171065,25 Birchwood Avenue Blenheim,,,,,," $429,000.00 ",dwelling with attached garage/log fire/detached shed
94886,Marlborough,Marlborough,30-Aug-17,BC170982,"2609 SH 63
Wairau Valley",,,,,," $415,883.00 ",dwelling with attached garage & free-standing masport r5000 rural log fire
94889,Marlborough,Marlborough,30-Sep-17,BC171208,David Street Blenheim,,,,,," $408,000.00 ",dwelling with attached garage & free-standing woodsman aspen log fire
94890,Marlborough,Marlborough,30-Sep-17,BC171182,4 Solomon Place Blenheim,,,,,," $405,000.00 ",dwelling with attached garage & metro log fire
94895,Marlborough,Marlborough,30-Sep-17,BC171119,452 Moetapu Bay Road Pelorus Sound / Te Hoiere,,,,,," $400,000.00 ",dwelling with free-standing masport akaroa log fire
94900,Marlborough,Marlborough,30-Nov-17,BC171456,21 Grigg Drive Blenheim,,,,,," $387,000.00 ",dwelling with attached garage/free standing log fire
94901,Marlborough,Marlborough,30-Jul-17,BC170934,3 Dakota Place Blenheim,,,,,," $386,800.00 ",dwelling with attached garage & inbuilt yunca xander insert log fire
94902,Marlborough,Marlborough,30-Nov-17,BC171442,53 Grigg Drive Blenheim,,,,,," $385,600.00 ",dwelling with attached garage/inbuilt log fire
94904,Marlborough,Marlborough,30-Jul-17,BC170832,32 Rapaura Road Rapaura,,,,,," $377,000.00 ",dwelling with log fire and attached garage
94909,Marlborough,Marlborough,30-Nov-17,BC171375,24 Grigg Drive Blenheim,,,,,," $370,000.00 ",dwelling with attached garage/inbuilt log fire
94912,Marlborough,Marlborough,30-Sep-17,BC171216,31 Grigg Drive Blenheim,,,,,," $369,000.00 ",dwelling with attached garage & free-standing masport wanaka log fire
94914,Marlborough,Marlborough,30-Oct-17,BC171362,37 Hardings Road,Riverlands,,,,," $364,800.00 ",dwelling with attached garage/log fire/swimming pool
94916,Marlborough,Marlborough,30-Jul-17,BC170929,2672 SH 63 Wairau Valley,,,,,," $360,000.00 ",dwelling with attached garage & free-standing metro xtreme log fire
94917,Marlborough,Marlborough,30-Sep-17,BC171170,15 Solomon Place Blenheim,,,,,," $360,000.00 ",dwelling with attached garage/free standing log fire
94932,Marlborough,Marlborough,30-Nov-17,BC171487,49 Grigg Drive Blenheim,,,,,," $350,000.00 ",dwelling with attached garage & inbuilt yunca xander zero clearance log fire
94934,Marlborough,Marlborough,30-Aug-17,BC170987,1 Spitfire Drive Blenheim,,,,,," $348,000.00 ",dwelling with attached garage/log fire
94948,Marlborough,Marlborough,30-Dec-17,BC171522,22 Spitfire Drive Blenheim,,,,,," $330,000.00 ",dwelling with attached garage & free-standing masport r1500 log fire
94951,Marlborough,Marlborough,30-Nov-17,BC171379,51 Durham Street Picton,,,,,," $325,000.00 ",dwelling with attached garage/free standing log fire
94953,Marlborough,Marlborough,30-Nov-17,BC171458,16 Grigg Drive Blenheim,,,,,," $324,000.00 ",dwelling with attached garage/free standing log fire
94957,Marlborough,Marlborough,30-Dec-17,BC171559,92 Needles Road Ward,,,,,," $320,000.00 ",dwelling with attached garage/free standing log fire
94958,Marlborough,Marlborough,30-Jul-17,BC170865,69 B Colemans Road Blenheim,,,,,," $320,000.00 ",dwelling with woodsman log fire & detached double garage
94960,Marlborough,Marlborough,30-Aug-17,BC170976,13 Wakefield Street Tuamarina,,,,,," $320,000.00 ",dwelling with attached garage & inbuilt masport le4000 provincial log fire
94964,Marlborough,Marlborough,30-Nov-17,BC171383,239 Taylor Pass Road Blenheim,,,,,," $310,000.00 ",dwelling with attached garage & metro mega smart log fire
94966,Marlborough,Marlborough,30-Jul-17,BC170886,27 Corsair Crescent Blenheim,,,,,," $307,200.00 ",dwelling with attached garage/free standing log fire
94971,Marlborough,Marlborough,30-Nov-17,BC171485,7 McLean Drive Havelock,,,,,," $300,000.00 ",dwelling with attached garage & free-standing woodsman tarras mk iii log fire
94973,Marlborough,Marlborough,30-Dec-17,BC171556,4 A Bythell Street Blenheim,,,,,," $300,000.00 ",dwelling with attached garage/free standing log fire
94977,Marlborough,Marlborough,30-Aug-17,BC170971,5 Spitfire Drive Blenheim,,,,,," $293,000.00 ",dwelling with attached garage/log fire
94979,Marlborough,Marlborough,30-Jul-17,BC170908,SH 6 Havelock Rural,,,,,," $289,000.00 ",dwelling with log fire/three bay implement shed & wastewater system
94981,Marlborough,Marlborough,30-Sep-17,BC171191,37 Grigg Drive Blenheim,,,,,," $280,000.00 ",dwelling with attached garage & free-standing masport hestia 2 clean air log fire
94988,Marlborough,Marlborough,30-Oct-17,BC171348,402 Northbank Road,Northbank,,,,," $275,450.00 ",dwelling with log fire
94993,Marlborough,Marlborough,30-Sep-17,BC171245,42 Grigg Drive Blenheim,,,,,," $265,000.00 ",dwelling with attached garage & free-standing masport log fire
94996,Marlborough,Marlborough,30-Jul-17,BC170843,1726 Waihopai Valley Road Waihopai,,,,,," $260,000.00 ",dwelling with attached carport & free-standing masport wee rad log fire
94997,Marlborough,Marlborough,30-Sep-17,BC171105,10 Titoki Street Rarangi,,,,,," $260,000.00 ",dwelling with free standing log fire/waste water system
95000,Marlborough,Marlborough,30-Dec-17,BC171526,10 A Harvard Road Blenheim,,,,,," $256,000.00 ",dwelling with attached garage/log fire
95005,Marlborough,Marlborough,30-Aug-17,BC171104,Onamalutu Road Northbank,,,,,," $250,000.00 ",one bedroom studio & free- standing metro log fire with wetback
95006,Marlborough,Marlborough,30-Sep-17,BC171178,"4 Oliver Place
Queen Charlotte Sound / Totaranui",,,,,," $250,000.00 ","addition of upper floor bedrooms, free-standing woodsman log fire & on-site wastewater system upgrade"
95022,Marlborough,Marlborough,30-Jul-17,BC170879,13 Main Road Havelock,,,,,," $215,000.00 ",dwelling with attached garage & free-standing woodsman ecr novo log fire with wetback
95027,Marlborough,Marlborough,30-Nov-17,BC171395,Port Underwood Road Waikawa,,,,,," $200,000.00 ",dwelling with attached garage/shed & free-standing masport minos 2 log fire
95030,Marlborough,Marlborough,30-Nov-17,BC171463,4261 Awatere Valley Road Awatere Valley,,,,,," $200,000.00 ",demolish part earthquake damage dwelling & rebuild/new log fire
95040,Marlborough,Marlborough,30-Sep-17,BC171111,25 Bay End Rarangi,,,,,," $180,000.00 ",dwelling alterations with spartherm log fire
95041,Marlborough,Marlborough,30-Nov-17,BC171411,3 Collins Place Picton,,,,,," $175,000.00 ",dwelling with attached garage with free standing log fire
95051,Marlborough,Marlborough,30-Sep-17,BC171233,Ferry Road Spring Creek,,,,,," $150,000.00 ",dwelling additions/alterations & free-standing masport log fire
95056,Marlborough,Marlborough,30-Aug-17,BC170959,252 Ronga Road Rai,,,,,," $150,000.00 ",dwelling with attached garage & free-standing metro eco tiny rad log fire
95059,Marlborough,Marlborough,30-Jul-17,BC170874,4181 SH 6,,,,,," $145,000.00 ",shed additions & alterations with relocated free-standing log fire
95073,Marlborough,Marlborough,30-Jul-17,BC170909,9 E Lady Cobham Grove Queen Charlotte Sound / Totaranui,,,,,," $120,000.00 ",dwelling with log fire/onsite wastewater sytems
95120,Marlborough,Marlborough,30-Aug-17,BC171083,628 Waihopai Valley Road Waihopai,,,,,," $60,000.00 ",dwelling with free standing masport r1500 log fire
95126,Marlborough,Marlborough,30-Nov-17,BC171388,30 Hillcrest Avenue Blenheim,,,,,," $60,000.00 ",dwelling additions/alterations/new log fire
95127,Marlborough,Marlborough,30-Nov-17,BC171478,35 Pitchill Street Blenheim,,,,,," $60,000.00 ",reclad dwelling/replacement window joinery/new free standing log fire
95143,Marlborough,Marlborough,30-Nov-17,BC171403,61 Leefield Street Blenheim,,,,,," $50,000.00 ",demolish existing garage/new garage to be new bedroom/laundry and toilet/new metro wee rad log fire
95230,Marlborough,Marlborough,30-Jul-17,BC170868,9 Miro Street Rarangi,,,,,," $25,000.00 ",dwelling alterations/new free standing log fire
95274,Marlborough,Marlborough,30-Dec-17,BC171534,2948 Kenepuru Road Kenepuru Sound,,,,,," $18,000.00 ",dwelling additions & alterations/free-standing bionic log fire
95318,Marlborough,Marlborough,30-Dec-17,BC171606,480 Moetapu Bay Road Pelorus Sound / Te Hoiere,,,,,," $12,000.00 ",dwelling additions/alterations/inbuilt log fire
95361,Marlborough,Marlborough,30-Aug-17,BC170974,8 A Burleigh Road Blenheim,,,,,," $7,250.00 ",free standing metro eco xtreme rad log fire with wetback
95371,Marlborough,Marlborough,30-Jul-17,BC170848,Kumutoto Bay Queen Charlotte Sound / Totaranui,,,,,," $6,600.00 ",free-standing yunca wegj rural log fire
95373,Marlborough,Marlborough,30-Dec-17,BC171545,22 Lady Cobham Grove Queen Charlotte Sound / Totaranui,,,,,," $6,500.00 ",free standing pyroclassic iv log fire
95378,Marlborough,Marlborough,30-Nov-17,BC171428,119 Peninsula Road Spring Creek Rural,,,,,," $6,200.00 ",free standing masportr5000 leg log fire with wetback
95379,Marlborough,Marlborough,30-Nov-17,BC171376,25 A Beach Road Waikawa,,,,,," $6,145.00 ",free standing pyroclassic iv log fire
95386,Marlborough,Marlborough,30-Aug-17,BC171058,2200 Port Underwood Road/Te Whanganui / Port Underwood,,,,,," $5,969.00 ",inbuilt masport i9000 log fire
95388,Marlborough,Marlborough,30-Nov-17,BC171427,12 Mahakipawa Road Havelock,,,,,," $5,858.00 ",inbuilt metro smart insert log fire
95392,Marlborough,Marlborough,30-Sep-17,BC171143,11 Banksia Place Blenheim,,,,,," $5,800.00 ",free standing pyroclassic iv log fire
95393,Marlborough,Marlborough,30-Sep-17,BC171137,2 - 5 A Grant Place Blenheim,,,,,," $5,700.00 ",free standing masport akaroa log fire
95394,Marlborough,Marlborough,30-Dec-17,BC171558,22 Anglesea Street Renwick,,,,,," $5,650.00 ",free-standing masport r5000 legs log fire
95395,Marlborough,Marlborough,30-Aug-17,BC171103,"2644 SH 63
Wairau Valley",,,,,," $5,600.00 ",free standing metro ltd mega rad log fire
95397,Marlborough,Marlborough,30-Aug-17,BC171089,27 Carluke Road Rai,,,,,," $5,500.00 ",free standing masport r5000 ws log fire with wetback
95399,Marlborough,Marlborough,30-Aug-17,BC170990,287 Dog Point Road Hawkesbury,,,,,," $5,400.00 ",inbuilt masport le4000 provincial masonry log fire
95400,Marlborough,Marlborough,30-Aug-17,BC170992,"8866 SH 1
Ure",,,,,," $5,400.00 ",inbuilt jayline is550 rural log fire
95401,Marlborough,Marlborough,30-Dec-17,BC171537,69 Old Renwick Road Blenheim,,,,,," $5,400.00 ",inbuilt masport le4000 provincial  (masonry) log fire
95402,Marlborough,Marlborough,30-Aug-17,BC170997,42 D Brydon Street Renwick,,,,,," $5,400.00 ",free standing masport hestia 2 log fire
95403,Marlborough,Marlborough,30-Jul-17,BC170944,42 Maxwell Road Blenheim,,,,,," $5,400.00 ",inbuilt masport bannockburn i2000 masonry log fire
95404,Marlborough,Marlborough,30-Nov-17,BC171448,67 Inkerman Street Renwick,,,,,," $5,350.00 ",free standing masport mackenzie r10000 log fire
95405,Marlborough,Marlborough,30-Aug-17,BC171001,7 Page Street Blenheim,,,,,," $5,310.00 ",free standing masport r5000 ped log fire with wetback
95406,Marlborough,Marlborough,30-Jul-17,BC170876,251 Gulch Road Flaxbourne,,,,,," $5,300.00 ",free standing masport r5000 ped log fire
95407,Marlborough,Marlborough,30-Nov-17,BC171399,67 Colemans Road Blenheim,,,,,," $5,281.00 ",free standing firenzo contessa urban log fire
95408,Marlborough,Marlborough,30-Nov-17,BC171384,18 Harakeke Place Blenheim,,,,,," $5,200.00 ",free-standing firenzo vision log fire
95409,Marlborough,Marlborough,30-Aug-17,BC170970,41 Anglesea Street Renwick,,,,,," $5,200.00 ",free-standing masport r5000 woodstacker log fire
95411,Marlborough,Marlborough,30-Nov-17,BC171501,11 Nolans Road Grovetown,,,,,," $5,100.00 ",free-standing masport akaroa log fire
95412,Marlborough,Marlborough,30-Oct-17,BC171271,52 Nelson Street,Blenheim,,,,," $5,000.00 ",logfire
95413,Marlborough,Marlborough,30-Oct-17,BC171289,7 Martin Terrace,Blenheim,,,,," $5,000.00 ",logfire
95414,Marlborough,Marlborough,30-Oct-17,BC171269,8 Mary Street,Blenheim,,,,," $5,000.00 ",logfire
95415,Marlborough,Marlborough,30-Sep-17,BC171185,13 Springswood Grove Blenheim,,,,,," $5,000.00 ",free-standing masport r1600 log fire
95417,Marlborough,Marlborough,30-Sep-17,BC171129,26 Matai Street Duncan Bay Tennyson Inlet,,,,,," $5,000.00 ",free standing jayline fr300 log fire
95418,Marlborough,Marlborough,30-Oct-17,BC171268,4 A Sussex Street,Picton,,,,," $5,000.00 ",logfire
95419,Marlborough,Marlborough,30-Oct-17,BC171257,83 B Maxwell Road,Blenheim,,,,," $5,000.00 ",logfire
95421,Marlborough,Marlborough,30-Aug-17,BC171045,3 Boyce Street Blenheim,,,,,," $5,000.00 ",free standing masport r5000 ped log fire
95422,Marlborough,Marlborough,30-Oct-17,BC171256,3 Hunter Road,Tuamarina,,,,," $5,000.00 ",logfire
95423,Marlborough,Marlborough,30-Oct-17,BC171338,68 South Street,Blenheim,,,,," $5,000.00 ",logfire
95424,Marlborough,Marlborough,30-Oct-17,BC171304,20 Percy Street,Blenheim,,,,," $5,000.00 ",logfire
95427,Marlborough,Marlborough,30-Oct-17,BC171330,48 Hawkesbury Road,Hawkesbury,,,,," $5,000.00 ",logfire
95428,Marlborough,Marlborough,30-Oct-17,BC171280,17 Fareham Lane,Conders Bend,,,,," $5,000.00 ",logfire
95429,Marlborough,Marlborough,30-Oct-17,BC171358,Miro Bay,Pelorus Sound / Te Hoiere,,,,," $5,000.00 ",logfire
95430,Marlborough,Marlborough,30-Oct-17,BC171370,98 Colemans Road,Blenheim,,,,," $5,000.00 ",logfire
95431,Marlborough,Marlborough,30-Jul-17,BC170877,Taylor Pass Road Blenheim,,,,,," $5,000.00 ",free standing masport r5000 log fire
95432,Marlborough,Marlborough,30-Jul-17,BC170836,246 Waikawa Road Waikawa,,,,,," $5,000.00 ",free-standing jayline ss280pw log fire with wetback
95433,Marlborough,Marlborough,30-Jul-17,BC170946,13 Brewer Street Blenheim,,,,,," $5,000.00 ",free-standing masport r5000 log fire
95435,Marlborough,Marlborough,30-Jul-17,BC170884,158 Scott Street Blenheim,,,,,," $5,000.00 ",two free standing woodsman ecr novo log fires
95436,Marlborough,Marlborough,30-Oct-17,BC171331,Endeavour Inlet,Queen Charlotte Sound /,,,,," $5,000.00 ",logfire
95437,Marlborough,Marlborough,30-Aug-17,BC171099,47 Elmwood Avenue Blenheim,,,,,," $5,000.00 ",free-standing metro xtreme rad log fire
95439,Marlborough,Marlborough,30-Oct-17,BC171303,10 Hope Drive,Blenheim,,,,," $5,000.00 ",logfire
95446,Marlborough,Marlborough,30-Sep-17,BC171181,280 Tyntesfield Road Waihopai,,,,,," $4,999.00 ",free-standing metro ltd xtreme rad log fire with wetback
95447,Marlborough,Marlborough,30-Dec-17,BC171592,16 Stephenson Street Blenheim,,,,,," $4,995.00 ",free standing masport r5000 log fire
95448,Marlborough,Marlborough,30-Dec-17,BC171551,26 Brewer Street Blenheim,,,,,," $4,987.00 ","free standing masport r5000     heating marlborough 2013 legs log fire                                limited
55 grove road mayfield blenheim   7201"
95449,Marlborough,Marlborough,30-Nov-17,BC171483,43 Litchfield Street Blenheim,,,,,," $4,950.00 ",free standing metro mega rad log fire
95450,Marlborough,Marlborough,30-Aug-17,BC171002,4 Rudd Crescent Blenheim,,,,,," $4,870.00 ",free standing metro classic rad log fire
95451,Marlborough,Marlborough,30-Dec-17,BC171531,21 Murphys Road Blenheim,,,,,," $4,868.00 ",free standing masport hestia 2 log fire
95452,Marlborough,Marlborough,30-Nov-17,BC171447,48 Hampden Street Picton,,,,,," $4,825.00 ",free standing masport r5000 legs log fire
