,region,council,date_issued,council_ref,location_street,location_suburb,location_area,location_all, Location_Postcode ,legal_description,val_number,consent_value,description
74501,Bay of Plenty,Western Bay of Plenty,15-Jul-20,Wb94146,37 Glue Pot Road,,,37 Glue Pot Road  ,  ,,06874 199 00,3500,new freestanding solid fuel heater
74502,Bay of Plenty,Western Bay of Plenty,15-Jul-20,Wb94083,80A Wainui South Road,,,80A Wainui South Road  ,  ,,06819 250 18,3500,install solid fuel heater with wetback
74503,Bay of Plenty,Western Bay of Plenty,15-Jul-20,Wb94272,509 Pukehina Parade,,,509 Pukehina Parade  ,  ,,06922 385 00,6854,install new free-standing solid fuel heater
74506,Bay of Plenty,Western Bay of Plenty,16-Jul-20,Wb94213,152 Busby Road,,,152 Busby Road  ,  ,,06809 118 02,2400,solid fuel heater
74509,Bay of Plenty,Western Bay of Plenty,17-Jul-20,Wb94283,20 Tui Street,,,20 Tui Street  ,  ,,06793 185 00,3000,freestanding solid fuel heater
74514,Bay of Plenty,Western Bay of Plenty,20-Jul-20,Wb94175,88B Pahoia Road,,,88B Pahoia Road  ,  ,,06819 063 03,982000,"new dwelling with detached garage, oset and solid fuel heater"
74520,Bay of Plenty,Western Bay of Plenty,22-Jul-20,Wb94302,254 Pukehina Parade,,,254 Pukehina Parade  ,  ,,06922 260 00,4000,new freestanding solid fuel heater
74529,Bay of Plenty,Western Bay of Plenty,24-Jul-20,Wb94298,6 Busby Road,,,6 Busby Road  ,  ,,06815 009 02,6195,installation of freestanding solid fuel heater
74530,Bay of Plenty,Western Bay of Plenty,24-Jul-20,Wb94197,123 Lochhead Road,,,123 Lochhead Road  ,  ,,06829 456 11,6261,replacement inbuilt solid fuel heater
74531,Bay of Plenty,Western Bay of Plenty,24-Jul-20,Wb94292,239D Soldiers Road,,,239D Soldiers Road  ,  ,,06871 078 05,6995,installation of freestanding solid fuel heater
74536,Bay of Plenty,Western Bay of Plenty,27-Jul-20,Wb94315,211 Maketu Road,,,211 Maketu Road  ,  ,,06910 260 00,7150,new free standing solid fuel heater
74541,Bay of Plenty,Western Bay of Plenty,28-Jul-20,Wb94323,718 Old Coach Road,,,718 Old Coach Road  ,  ,,06920 179 05,3939,installation of freestanding solid fuel heater
74542,Bay of Plenty,Western Bay of Plenty,28-Jul-20,Wb94299,224C Rocky Cutting Road,,,224C Rocky Cutting Road  ,  ,,06891 128 03,7217,new solid fuel heater
74543,Bay of Plenty,Western Bay of Plenty,29-Jul-20,Wb94202,Matakana Island,,,Matakana Island  ,  ,,06801 003 04,5000,installation of freestanding solid fuel heater
74544,Bay of Plenty,Western Bay of Plenty,29-Jul-20,Wb94259,4C Ainsworth Road,,,4C Ainsworth Road  ,  ,,06819 144 01,5000,new free standing solid fuel heater
74558,Bay of Plenty,Western Bay of Plenty,31-Jul-20,Wb94362,6 Princes Street,,,6 Princes Street  ,  ,,06808 169 27,4000,install free standing solid fuel heater with existing wetback
74562,Bay of Plenty,Western Bay of Plenty,4-Aug-20,Wb94324,308A Crawford Road,,,308A Crawford Road  ,  ,,06819 155 05,3500,installation of freestanding solid fuel heater
74563,Bay of Plenty,Western Bay of Plenty,4-Aug-20,Wb94337,12E Ormsby Lane,,,12E Ormsby Lane  ,  ,,06872 234 08,4894,new freestanding solid fuel heater
74564,Bay of Plenty,Western Bay of Plenty,4-Aug-20,Wb94361,128 Wilson Road North,,,128 Wilson Road North  ,  ,,06910 253 11,4948,install solid fuel heater - make: wagener; model: sparky multifuel
74571,Bay of Plenty,Western Bay of Plenty,5-Aug-20,Wb94339,335D Sharp Road,,,335D Sharp Road  ,  ,,06808 285 04,3000,new replacement solid fuel heater
74572,Bay of Plenty,Western Bay of Plenty,5-Aug-20,Wb94317,294 Busby Road,,,294 Busby Road  ,  ,,06809 121 05,5558,new wetback solid fuel heater
74575,Bay of Plenty,Western Bay of Plenty,6-Aug-20,Wb94290,Roydon Downs Road,,,Roydon Downs Road  ,  ,,06920 175 05,3651,install new in-built solid fuel heater
74583,Bay of Plenty,Western Bay of Plenty,7-Aug-20,Wb94199,46 Plummer Road,,,46 Plummer Road  ,  ,,06819 087 10,5000,new free-standing solid fuel heater
74586,Bay of Plenty,Western Bay of Plenty,10-Aug-20,Wb94320,87 Kaituna River Road,,,87 Kaituna River Road  ,  ,,06910 168 00,3523,new freestanding solid fuel heater
74591,Bay of Plenty,Western Bay of Plenty,13-Aug-20,Wb94344,60 Wilson Road,,,60 Wilson Road  ,  ,,05061 952 00,3500,installation of freestanding solid fuel heater in a commercial building
74593,Bay of Plenty,Western Bay of Plenty,13-Aug-20,Wb94380,21 Edgehill Place,,,21 Edgehill Place  ,  ,,06791 481 00,4000,freestanding solid fuel heater - metro wee rad
74598,Bay of Plenty,Western Bay of Plenty,17-Aug-20,Wb94379,479G Ohauiti Road,,,479G Ohauiti Road  ,  ,,06874 076 15,3500,freestanding solid fuel heater - kent murchison
74604,Bay of Plenty,Western Bay of Plenty,19-Aug-20,Wb94399,Washer Road,,,Washer Road  ,  ,,06895 078 01,3500,freestanding solid fuel heater - masport r3000
74605,Bay of Plenty,Western Bay of Plenty,19-Aug-20,Wb94398,109C Plummer Road,,,109C Plummer Road  ,  ,,06819 102 14,4420,freestanding solid fuel heater - jayline fr400
74606,Bay of Plenty,Western Bay of Plenty,19-Aug-20,Wb94419,32 Woodland Road,,,32 Woodland Road  ,  ,,06808 208 00,4762,installation of inbuilt solid fuel heater
74607,Bay of Plenty,Western Bay of Plenty,19-Aug-20,Wb94397,519 Otamarakau Valley Road,,,519 Otamarakau Valley Road  ,  ,,06920 522 08,6750,freestanding solid fuel heater - metro ltd extreme rad
74616,Bay of Plenty,Western Bay of Plenty,21-Aug-20,Wb94356,347B Pyes Pa Road,,,347B Pyes Pa Road  ,  ,,06873 097 01,2000,installation of freestanding solid fuel heater
74617,Bay of Plenty,Western Bay of Plenty,21-Aug-20,Wb94325,9 Walker Road East,,,9 Walker Road East  ,  ,,06808 292 02,5000,install replacement free standing solid fuel heater
74634,Bay of Plenty,Western Bay of Plenty,26-Aug-20,Wb94311,Strathmore Drive,,,Strathmore Drive  ,  ,,06808 309 05,646813,new dwelling with inbuilt solid fuel heater and oset
74635,Bay of Plenty,Western Bay of Plenty,27-Aug-20,Wb94446,286 Pukehina Beach Road,,,286 Pukehina Beach Road  ,  ,,06920 325 00,3200,freestanding solid fuel heater
74636,Bay of Plenty,Western Bay of Plenty,27-Aug-20,Wb94403,435A Allport Road,,,435A Allport Road  ,  ,,06920 464 47,4000,freestanding solid fuel heater - metro wee rad
74641,Bay of Plenty,Western Bay of Plenty,28-Aug-20,Wb94373,250 No 2 Road,,,250 No 2 Road  ,  ,,06900 373 00,4564,installation of freestanding solid fuel heater
74642,Bay of Plenty,Western Bay of Plenty,28-Aug-20,Wb94239,78A Lockington Road,,,78A Lockington Road  ,  ,,06809 208 10,5000,install solid fuel heater
74643,Bay of Plenty,Western Bay of Plenty,28-Aug-20,Wb94143,No 2 Road,,,No 2 Road  ,  ,,06900 404 04,5000,inbuilt solid fuel heater
74644,Bay of Plenty,Western Bay of Plenty,28-Aug-20,Wb94401,1295 Te Matai Road,,,1295 Te Matai Road  ,  ,,06920 432 00,5751,installalation of freestanding solid fuel heater
74645,Bay of Plenty,Western Bay of Plenty,28-Aug-20,Wb94270,52A Wharawhara Road,,,52A Wharawhara Road  ,  ,,06809 136 04,15000,install new free-standing solid fuel heater with wetback
74655,Bay of Plenty,Western Bay of Plenty,1-Sep-20,Wb94429,78 Dekker Road,,,78 Dekker Road  ,  ,,06873 466 12,3669,installation of freestanding solid fuel heater
74656,Bay of Plenty,Western Bay of Plenty,1-Sep-20,Wb94404,Windridge Lane,,,Windridge Lane  ,  ,,06809 229 03,3989,installation of freestanding solid fuel heater
74657,Bay of Plenty,Western Bay of Plenty,1-Sep-20,Wb94405,48 Dunlop Road,,,48 Dunlop Road  ,  ,,06794 693 00,4090,solid fuel heater
74658,Bay of Plenty,Western Bay of Plenty,1-Sep-20,Wb94414,14 Bishoprick Crescent,,,14 Bishoprick Crescent  ,  ,,06794 681 00,4100,installation of freestanding solid fuel heater
74659,Bay of Plenty,Western Bay of Plenty,1-Sep-20,Wb94415,220E Waikite Road,,,220E Waikite Road  ,  ,,06891 035 02,4461,installation of freestanding solid fuel heater
74661,Bay of Plenty,Western Bay of Plenty,1-Sep-20,Wb94116,140J Tebbutt Road,,,140J Tebbutt Road  ,  ,,06819 337 00,20000,dwelling alterations to include solid fuel heater with wetback
74668,Bay of Plenty,Western Bay of Plenty,2-Sep-20,Wb94409,98 Harbour View Road,,,98 Harbour View Road  ,  ,,06881 097 00,4500,installation of freestanding solid fuel heater
74672,Bay of Plenty,Western Bay of Plenty,3-Sep-20,Wb94459,1561 Rangiuru Road,,,1561 Rangiuru Road  ,  ,,06920 451 02 A,2400,installation of freestanding solid fuel heater
74710,Bay of Plenty,Western Bay of Plenty,14-Sep-20,Wb94390,664 State Highway 2,,,664 State Highway 2  ,  ,,06808 081 00,4000,new solid fuel heater
74711,Bay of Plenty,Western Bay of Plenty,14-Sep-20,Wb94355,8 Tangitu Road,,,8 Tangitu Road  ,  ,,06829 436 01,5000,installation of freestanding solid fuel heater
74712,Bay of Plenty,Western Bay of Plenty,14-Sep-20,Wb94246,863 State Highway 2,,,863 State Highway 2  ,  ,,06809 064 00,6000,new free standing solid fuel heater - wetback
74726,Bay of Plenty,Western Bay of Plenty,17-Sep-20,Wb94508,431 Belk Road,,,431 Belk Road  ,  ,,06872 101 01,750,installation of freestanding solid fuel heater
74727,Bay of Plenty,Western Bay of Plenty,17-Sep-20,Wb94475,857 Allport Road,,,857 Allport Road  ,  ,,06920 464 42,2500,installation of freestanding solid fuel heater
74728,Bay of Plenty,Western Bay of Plenty,17-Sep-20,Wb94485,116 Wilson Road North,,,116 Wilson Road North  ,  ,,06910 254 04,4624,installation of freestanding solid fuel heater
74729,Bay of Plenty,Western Bay of Plenty,17-Sep-20,Wb94487,Walker Road East,,,Walker Road East  ,  ,,06808 293 00,5000,installation of freestanding solid fuel heater
74730,Bay of Plenty,Western Bay of Plenty,17-Sep-20,Wb94271,Omanawa Road,,,Omanawa Road  ,  ,,06871 085 00,5000,installation of solid fuel heater
74731,Bay of Plenty,Western Bay of Plenty,17-Sep-20,Wb94522,7 Wakanoi Place,,,7 Wakanoi Place  ,  ,,06811 522 00,5470,installation of freestanding solid fuel heater
74741,Bay of Plenty,Western Bay of Plenty,21-Sep-20,Wb94413,76 Omokoroa Road,,,76 Omokoroa Road  ,  ,,06881 346 00,5000,installation of freestanding solid fuel heater
74742,Bay of Plenty,Western Bay of Plenty,21-Sep-20,Wb94326,29 Moana Drive,,,29 Moana Drive  ,  ,,06808 014 00,5000,installation of replacement freestanding solid fuel heater
74743,Bay of Plenty,Western Bay of Plenty,21-Sep-20,Wb94470,6 Maniaroa Drive,,,6 Maniaroa Drive  ,  ,,06817 202 45,5000,installation of freestanding solid fuel heater
74748,Bay of Plenty,Western Bay of Plenty,22-Sep-20,Wb94531,363 Busby Road,,,363 Busby Road  ,  ,,06809 123 00,5276,installation of freestanding solid fuel heater
74749,Bay of Plenty,Western Bay of Plenty,22-Sep-20,Wb94267,5 Mickells Drive,,,5 Mickells Drive  ,  ,,06819 267 07,6000,new freestanding solid fuel heater
74754,Bay of Plenty,Western Bay of Plenty,22-Sep-20,Wb94321,108B Te Puna Quarry Road,,,108B Te Puna Quarry Road  ,  ,,06819 141 03,720000,"two storey dwelling with solid fuel heater, swimming pool and pool fencing"
74755,Bay of Plenty,Western Bay of Plenty,23-Sep-20,Wb94505,1 Augusta Rise,,,1 Augusta Rise  ,  ,,06881 583 38,4720,installation of freestanding solid fuel heater
74768,Bay of Plenty,Western Bay of Plenty,25-Sep-20,Wb94559,3 Tui Street,,,3 Tui Street  ,  ,,06793 177 00,4000,install solid fuel heater - make: metro; model: eco smart insert
74776,Bay of Plenty,Western Bay of Plenty,30-Sep-20,Wb94582,27 Kahawai Place,,,27 Kahawai Place  ,  ,,06829 005 63,4100,install solid fuel heater
74777,Bay of Plenty,Western Bay of Plenty,30-Sep-20,Wb94567,248B Pukehina Parade,,,248B Pukehina Parade  ,  ,,06922 257 00 B,5314,install solid fuel heater - make: metro; model: tiny rad woody wetback
74781,Bay of Plenty,Western Bay of Plenty,1-Oct-20,Wb94552,82 Koutunui Road,,Western Bay of Plenty,82 Koutunui Road  Western Bay of Plenty,  ,,06804 046 14,4780,install solid fuel heater - make: metro; model: wee rad (legs)
74782,Bay of Plenty,Western Bay of Plenty,1-Oct-20,Wb94557,331 Youngson Road,,Western Bay of Plenty,331 Youngson Road  Western Bay of Plenty,  ,,06819 099 00,4874,install solid fuel heater - make: jayline; model: fr300 ru
74792,Bay of Plenty,Western Bay of Plenty,5-Oct-20,Wb94364,61 Bowentown Boulevard,,Western Bay of Plenty,61 Bowentown Boulevard  Western Bay of Plenty,  ,,06811 615 00,480000,new dwelling with solid fuel heater
74808,Bay of Plenty,Western Bay of Plenty,9-Oct-20,Wb94617,243 Work Road,,Western Bay of Plenty,243 Work Road  Western Bay of Plenty,  ,,06809 272 02,3772,solid fuel heater - make: bosca; model: limit 380
74809,Bay of Plenty,Western Bay of Plenty,9-Oct-20,Wb94613,573 Omanawa Road,,Western Bay of Plenty,573 Omanawa Road  Western Bay of Plenty,  ,,06872 255 00,6686,new solid fuel heater - make: firenzo; model: lady kitchener ru with wetback
74818,Bay of Plenty,Western Bay of Plenty,13-Oct-20,Wb94615,Work Road,,Western Bay of Plenty,Work Road  Western Bay of Plenty,  ,,06819 221 01,8808,solid fuel heater - make: firenzo; model: viking ru
74827,Bay of Plenty,Western Bay of Plenty,14-Oct-20,Wb94618,194 Te Tumu Road,,Western Bay of Plenty,194 Te Tumu Road  Western Bay of Plenty,  ,,06910 067 01,4200,solid fuel heater - make: masport; model: r1500ws
74833,Bay of Plenty,Western Bay of Plenty,16-Oct-20,Wb93938,Galaxy North Road,,Western Bay of Plenty,Galaxy North Road  Western Bay of Plenty,  ,,06875 089 00,80000,hunting hut with wood burner on wooden piles
74840,Bay of Plenty,Western Bay of Plenty,16-Oct-20,Wb94579,9 Herring Place,,Western Bay of Plenty,9 Herring Place  Western Bay of Plenty,  ,,06829 005 17,400000,new dwelling with solid fuel heater
74843,Bay of Plenty,Western Bay of Plenty,19-Oct-20,Wb94643,314 Ongare Point Road,,Western Bay of Plenty,314 Ongare Point Road  Western Bay of Plenty,  ,,06808 111 00,3991,solid fuel heater metro tiny rad
74858,Bay of Plenty,Western Bay of Plenty,22-Oct-20,Wb94648,21 Williams Road South,,Western Bay of Plenty,21 Williams Road South  Western Bay of Plenty,  ,,06873 484 01,2482,install solid fuel heater - make: jayline; model: ss300
74866,Bay of Plenty,Western Bay of Plenty,27-Oct-20,Wb94623,857 Allport Road,,Western Bay of Plenty,857 Allport Road  Western Bay of Plenty,  ,,06920 464 42,3650,freestanding solid fuel heater - metro mega rad
74871,Bay of Plenty,Western Bay of Plenty,28-Oct-20,Wb94647,20 Muir Place,,Western Bay of Plenty,20 Muir Place  Western Bay of Plenty,  ,,06794 608 04,3824,install solid fuel heater - make: metro; model: wee rad legs
74872,Bay of Plenty,Western Bay of Plenty,28-Oct-20,Wb94685,209 No 1 Road,,Western Bay of Plenty,209 No 1 Road  Western Bay of Plenty,  ,,06797 300 00,5600,install solid fuel heater - make: metro; model: ltd wee rad on legs
74901,Bay of Plenty,Western Bay of Plenty,4-Nov-20,Wb94659,60 Moehau Street,,,60 Moehau Street  ,  ,,06795 104 00,4458,installation of freestanding solid fuel heater
74902,Bay of Plenty,Western Bay of Plenty,4-Nov-20,Wb94657,9 Betty May Drive,,,9 Betty May Drive  ,  ,,06873 439 17,5000,installation of freestanding solid fuel heater with wetback
74907,Bay of Plenty,Western Bay of Plenty,5-Nov-20,Wb94749,67B Gasson Lane,,,67B Gasson Lane  ,  ,,06873 305 13,4000,installation of freestanding solid fuel heater
74967,Bay of Plenty,Western Bay of Plenty,26-Nov-20,Wb94753,709 Maungarangi Road,,,709 Maungarangi Road  ,  ,,06920 158 04,3994,installation of freestanding solid fuel heater
74979,Bay of Plenty,Western Bay of Plenty,30-Nov-20,Wb93924,108D Plummer Road,,,108D Plummer Road  ,  ,,06819 102 25,100,install solid fuel heater
75005,Bay of Plenty,Western Bay of Plenty,4-Dec-20,Wb94628,188 Minden Road,,,188 Minden Road  ,  ,,,3500,replacement solid fuel heater
75006,Bay of Plenty,Western Bay of Plenty,7-Dec-20,Wb94495,34 Pahoia Beach Road,,,34 Pahoia Beach Road  ,  ,,,6000,installation of freestanding solid fuel heater
75011,Bay of Plenty,Western Bay of Plenty,7-Dec-20,Wb94633,11 Athenree Heights,,,11 Athenree Heights  ,  ,,,525000,new dwelling and solid fuel heater
75020,Bay of Plenty,Western Bay of Plenty,11-Dec-20,Wb94814,84 Kaiwha Road,,,84 Kaiwha Road  ,  ,,,3444,install freestanding solid fuel heater
75032,Bay of Plenty,Western Bay of Plenty,14-Dec-20,Wb94670,695B Esdaile Road,,,695B Esdaile Road  ,  ,,,5000,installation of freestanding solid fuel heater
75035,Bay of Plenty,Western Bay of Plenty,15-Dec-20,Wb94882,69B Gamman Mill Road,,,69B Gamman Mill Road  ,  ,,,5000,installation of solid fuel heater
75045,Bay of Plenty,Western Bay of Plenty,16-Dec-20,Wb94831,26 Manoeka Road,,,26 Manoeka Road  ,  ,,,4000,new solid fuel heater
75062,Bay of Plenty,Western Bay of Plenty,17-Dec-20,Wb94858,159B Te Puna Road,,,159B Te Puna Road  ,  ,,,500000,"new dwelling, freestanding solid fuel heater with wet back and oset system"
75070,Bay of Plenty,Western Bay of Plenty,21-Dec-20,Wb94762,9 Kahu Lane,,,9 Kahu Lane  ,  ,,,300000,minor dwelling with shed and solid fuel heater
75093,Bay of Plenty,Western Bay of Plenty,24-Dec-20,Wb94810,57F Fairview Place,,,57F Fairview Place  ,  ,,,950000,"new dwelling with solid fuel heater, oset & swimming pool"
75096,West Coast,Westland,30-Jan-20,WlJan20/12,116 Livingstone Street,,,116 Livingstone Street  ,  ,,2585032000,9000,installation of a woodsman  logburner
75127,West Coast,Westland,30-Mar-20,WlBC200036,24 Wanganui Flat Road,,,24 Wanganui Flat Road  ,  ,,,100,replace existing masport consented log burner with new yunca
75130,West Coast,Westland,30-Mar-20,WlBC200035,15 Takutai Road,,,15 Takutai Road  ,  ,,,7000,install new free standing wood burner
75140,West Coast,Westland,30-Apr-20,WlBC200061,117 Burrough Road,,,117 Burrough Road  ,  ,,20200416,5500,install freestanding wood burner
75141,West Coast,Westland,30-Apr-20,WlBC200060,28 Stuart Street,,,28 Stuart Street  ,  ,,20200402,6000,install new wood burner
75143,West Coast,Westland,30-Apr-20,WlBC200065,150 Kaniere Road,,,150 Kaniere Road  ,  ,,20200430,7000,install freestanding wood burner
75144,West Coast,Westland,30-Apr-20,WlBC200043,100 One Mile Line Road,,,100 One Mile Line Road  ,  ,,20200403,7000,install freestanding wood burner
75145,West Coast,Westland,30-Apr-20,WlBC200058,210 Lake Kaniere Road,,,210 Lake Kaniere Road  ,  ,,20200408,8000,install freestanding wood burner
75158,West Coast,Westland,18-May-20,WlBC200073,9 Nyhon Place,,,9 Nyhon Place  ,  ,Lot 2 DP 388282,2581020697,4000,install a woodburner
75163,West Coast,Westland,3-Jun-20,WlBC200080,89 Russel Road,,Kaniere,89 Russel Road  Kaniere,  ,Lot 2 Dp 3119,2576021304,5900,install new yunca hobson woodburner into exsiting garage/workshop.
75164,West Coast,Westland,3-Jun-20,WlBC200087,184 Gillams Gully Road,,Awatuna,184 Gillams Gully Road  Awatuna,  ,Lot 1 Dp 347239,2574003803,6750,install new pyroclassic woodburner fire
75166,West Coast,Westland,8-Jun-20,WlBC200096,36 Revell Street,,Westland,36 Revell Street  Westland,  ,"Allotment 1705 Town Of Hokitika 36 Revell St, Hokitika",2586034800,7000,install a metro mega rad wood fire (dry)
75189,West Coast,Westland,30-Jul-20,WlBC200129,No 9394B,,,No 9394B  ,  ,,20200717,2500,"installation of heating appliance, wood burner"
75191,West Coast,Westland,30-Jul-20,WlBC200135,10 Wanganui Flat Road,,,10 Wanganui Flat Road  ,  ,,20200728,5000,install woodsman rmf solid fuel heater x 2 ( dry )
75215,West Coast,Westland,22-Sep-20,WlBC200138,91 Burrough Road,RD1,Whataroa,91 Burrough Road RD1 Whataroa,  ,Lot 1 DP 3473,2580014603,4000,to install a woodsman coaster multifuel log burner
75221,West Coast,Westland,6-Oct-20,WlBC200184,58 Main Road,,Westland,58 Main Road  Westland,  ,Lot 2 DP 1693,2580025702,4500,replace existing fire with new yunca hobson wood burner.
75232,West Coast,Westland,5-Nov-20,WlBC200201,47 Livingstone Street,,,47 Livingstone Street  ,  ,Sec 1057,2585064700,5000,install woodsman tarris woodburner
75255,West Coast,Westland,30-Dec-20,WlBC200172,Stuart Street,,,Stuart Street  ,  ,,20201221,425000,build a 4 bedroom domestic dwelling including wood burner  plus detached double garage onsite
75290,Bay of Plenty,Whakatane,10-Feb-20,Wn200040,9 Mangaone Road,,Whakatane,9 Mangaone Road  Whakatane,  ,,,5000,replace an existing free standing wood burner - consent issued 10 feb 2020
75311,Bay of Plenty,Whakatane,21-Feb-20,Wn200064,33 Cutler Crescent,,Whakatane,33 Cutler Crescent  Whakatane,  ,,,2000,install replacement wood fire - consent received 21 feb 2020
75344,Bay of Plenty,Whakatane,18-Mar-20,Wn200107,25 Paul Street,,Whakatane,25 Paul Street  Whakatane,  ,,,2500,replace old solid fuel heater with new one - consent approved18 mar 2020
75354,Bay of Plenty,Whakatane,25-Mar-20,Wn200121,57 Ohutu Road,,Whakatane,57 Ohutu Road  Whakatane,  ,,,5000,install replacement woodfire - consent received 25 mar 2020
75370,Bay of Plenty,Whakatane,7-May-20,Wn200154,1 Kahikatea Street,,Whakatane,1 Kahikatea Street  Whakatane,  ,,,2500,install replacement woodburner - consent issued 07 may 2020
75371,Bay of Plenty,Whakatane,7-May-20,Wn200152,18 Kahikatea Street,,Whakatane,18 Kahikatea Street  Whakatane,  ,,,4000,install replacement woodburner r3000 clean-air - consent issued 07 may 2020
75381,Bay of Plenty,Whakatane,13-May-20,Wn200180,107 Otarawairere Road,,Whakatane,107 Otarawairere Road  Whakatane,  ,,,7000,replacing wood burner that was dangerous   - consent received 13 may 2020
75391,Bay of Plenty,Whakatane,21-May-20,Wn200200,8 Oak Street,,Whakatane,8 Oak Street  Whakatane,  ,,,2000,install woodfire - consent received 21 may 2020
75405,Bay of Plenty,Whakatane,25-May-20,Wn200165,123 Otakiri Road,,Whakatane,123 Otakiri Road  Whakatane,  ,,,2000,wood burner install - consent issued 25 may 2020
75413,Bay of Plenty,Whakatane,29-May-20,Wn200183,55 Hillcrest Road,,Whakatane,55 Hillcrest Road  Whakatane,  ,,,1265,replacement of previous free standing woodfire   - ce issued 29 may 2020
75427,Bay of Plenty,Whakatane,10-Jun-20,Wn200236,17 Appenzell Drive,,Whakatane,17 Appenzell Drive  Whakatane,  ,,,2000,replacing old freestanding wood fire  - consent received 10 jun 2020
75441,Bay of Plenty,Whakatane,17-Jun-20,Wn200253,238 King Street,,Whakatane,238 King Street  Whakatane,  ,,,1500,install solid wood burner - consent issued 17 jun 2020
75458,Bay of Plenty,Whakatane,25-Jun-20,Wn200266,4929N State Highway 38,,Whakatane,4929N State Highway 38  Whakatane,  ,,,7000,replace existing woodfire - consent received 25 jun 2020
75486,Bay of Plenty,Whakatane,13-Jul-20,Wn200292,86E Mimiha Ridge Road,,Whakatane,86E Mimiha Ridge Road  Whakatane,  ,,,2500,install wood burner fire place - consent issued 13 jul 2020
75495,Bay of Plenty,Whakatane,16-Jul-20,Wn200311,51 Tawa Street,,Whakatane,51 Tawa Street  Whakatane,  ,,,8000,"install masport i2000 insert woodburner
install masport i2000 insert woodburner - consent issued 16 jul 2020"
75517,Bay of Plenty,Whakatane,24-Jul-20,Wn200326,3 Amber Grove,,Whakatane,3 Amber Grove  Whakatane,  ,,,3000,installation of solid fuel heater - consent issued 24 jul 2020
75522,Bay of Plenty,Whakatane,27-Jul-20,Wn200340,48 Kirk Street,,Whakatane,48 Kirk Street  Whakatane,  ,,,5000,replace existing wood fire on existing wetback - consent received 27 jul 2020
75523,Bay of Plenty,Whakatane,27-Jul-20,Wn200306,19 Puriri Crescent,,Whakatane,19 Puriri Crescent  Whakatane,  ,,,10000,install freestanding woodburner - consent issued 27 jul 2020
75549,Bay of Plenty,Whakatane,5-Aug-20,Wn200316,17 Meadow Vale,,Whakatane,17 Meadow Vale  Whakatane,  ,,,2500,replacement fireplace metro  tiny ped woodburner - ccc final issued 05 aug 2020
75568,Bay of Plenty,Whakatane,20-Aug-20,Wn200358,26 Miro Drive,,Whakatane,26 Miro Drive  Whakatane,  ,,,4000,replace existing inbuilt wood fire - ccc issued 20 aug 2020
75576,Bay of Plenty,Whakatane,25-Aug-20,Wn200387,74C Ocean Road,,Whakatane,74C Ocean Road  Whakatane,  ,,,10000,"install freestanding woodburner
install freestanding woodburner - consent received 25 aug 2020"
75582,Bay of Plenty,Whakatane,1-Sep-20,Wn200378,29 East Bank Road,,Whakatane,29 East Bank Road  Whakatane,  ,,,3500,wood burner intallation - consent issued  01 sep 2020
75599,Bay of Plenty,Whakatane,21-Sep-20,Wn200417,27A Pine Drive,,Whakatane,27A Pine Drive  Whakatane,  ,,,2500,replace existing woodfire  - consent received -  21 sep 2020
75647,Bay of Plenty,Whakatane,21-Oct-20,Wk200472,96 Oregon Drive,,Whakatane,96 Oregon Drive  Whakatane,  ,,,5000,replace existing woodfire   - cons issued 21 oct 2020
75765,Bay of Plenty,Whakatane,17-Dec-20,Wn200603,58 Olympic Drive,,Whakatane,58 Olympic Drive  Whakatane,  ,,,7500,replace old f/s wood fire with new ravelli elena fire
75785,Manawatu-Whanganui,Whanganui,30-Jan-20,WgBCon20/0010,143 Carlton Ave,,Whanganui,143 Carlton Ave  Whanganui,  ,,5919,4000,install new metro smart insert  wood burner into existing chimney in living room.
75786,Manawatu-Whanganui,Whanganui,30-Jan-20,WgBCon19/0762,46 Cameron Rd West,,Whanganui,46 Cameron Rd West  Whanganui,  ,,64030,4670,install a metro wee rad leg freestanding wood burner into dining room.
75787,Manawatu-Whanganui,Whanganui,30-Jan-20,WgBCon20/0011,172 Paterson St,,Whanganui,172 Paterson St  Whanganui,  ,,10258,4950,install a metro smart insert wood burner into existing chimney in lounge.
75788,Manawatu-Whanganui,Whanganui,30-Jan-20,WgBCon20/0012,16 Bullock Dr,,Whanganui,16 Bullock Dr  Whanganui,  ,,15092,5000,install a jayline fr400 freestanding wood burner into living room.
75789,Manawatu-Whanganui,Whanganui,30-Jan-20,WgBCon20/0025,162 Great North Rd,,Whanganui,162 Great North Rd  Whanganui,  ,,43210,5000,install a jayline fr400 freestanding wood burner into lounge.
75790,Manawatu-Whanganui,Whanganui,30-Jan-20,WgBCon20/0016,9 Buxton Rd,,Whanganui,9 Buxton Rd  Whanganui,  ,,16184,5290,install a metro mega rad (base model) freestanding wood burner into lounge.
75791,Manawatu-Whanganui,Whanganui,30-Jan-20,WgBCon20/0022,58 Devon Rd,,Whanganui,58 Devon Rd  Whanganui,  ,,5509,5500,install a metro wee rad freestanding wood burner into lounge.
75832,Manawatu-Whanganui,Whanganui,28-Feb-20,WgBCon20/0063,12 Kowhai Street,,Whanganui,12 Kowhai Street  Whanganui,  ,731,,3000,install a metro r1 freestanding wood burner into the lounge.
75833,Manawatu-Whanganui,Whanganui,28-Feb-20,WgBCon20/0083,12 Balmoral Crescent,,Whanganui,12 Balmoral Crescent  Whanganui,  ,2562,,3400,"install a woodsman totara insert wood burner into lounge,"
